,IDX,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BR_RP,BP_G,G_RP,pscol,Teff,Dist,Rad,Lum_Flame,Mass_Flame,Age_Flame,z_Flame,SpType_ELS
337523,51850,65.08481740943,32.06319281615,166541931045406208,0.9285,7.86,2.691,-7.385,14.817126,0.002774,15.287363,0.003734,14.178304,0.003934,13.659075,0.112065,1.109059,0.470237,0.638823,,5797.4,909.3742,1.1227,1.660227,0.998,9.541,0.48432437,G      
350325,64652,88.94329623606,41.7951915168,192185806381042048,2.0189,7.678,-0.078,-7.678,13.70678,0.002767,14.110796,0.00296,13.134993,0.003863,12.961383,0.039027,0.975803,0.404017,0.571787,,5664.4,451.2203,0.833,0.7524613,1.005,0.493,0.70569485,G      
593940,8267,269.22449171104,-19.99255685743,4119250086453282688,0.0936,5.059,-3.484,-3.669,16.352386,0.002903,18.234795,0.012348,15.003194,0.005431,,,3.231601,1.882408,1.349193,,15010.5,1740.4207,3.617,606.5429,4.639,,0.7970507,O      
7668,7668,60.53972628132,45.88559769835,245506313536415744,2.9653,18.227,8.978,-15.863,10.026013,0.002778,10.223002,0.002814,9.694193,0.003785,9.575288,0.008087,0.52881,0.196989,0.331821,1.6141,6985.4,342.9433,2.133,8.69402,1.591,1.469,0.4739007,A      
313163,27490,36.77917085785,25.02839070915,103035891769825280,1.7739,18.433,7.169,-16.981,14.367924,0.00286,14.809463,0.004393,13.762862,0.004338,13.474907,0.147366,1.0466,0.441539,0.605062,,5322.8,589.2728,0.8948,0.5075792,0.898,3.615,0.63470453,G      
3003,3003,82.34962399621,36.80606735153,184240219962508544,1.3322,2.125,0.692,2.01,12.867345,0.002761,13.360288,0.002883,12.206001,0.003803,11.898088,0.022051,1.154286,0.492943,0.661344,,7758.7,814.6864,2.1987,13.262565,1.782,0.892,0.530859,A      
370865,85192,66.74650887958,41.73483129155,228170038819648384,0.707,2.66,2.634,-0.369,14.614224,0.00281,15.421383,0.003665,13.729534,0.004232,13.247044,0.062718,1.691849,0.807159,0.884689,,5292.3,1069.9797,2.5783,7.183817,1.53,2.575,0.23972616,G      
14293,14293,18.24767939756,55.74200729265,411734673314885248,3.041,6.341,-5.718,-2.74,9.348439,0.002761,9.478456,0.002798,9.103153,0.003784,8.99942,0.008019,0.375302,0.130016,0.245286,,7503.7,332.0059,2.4545,17.50814,1.876,0.97,0.35731143,A      
78396,78396,106.7445967496,-19.92280090422,2929562390492597120,0.3749,2.946,-1.87,2.276,14.639429,0.002767,14.96324,0.003087,14.138777,0.003872,14.048035,0.085397,0.824463,0.323811,0.500652,,7837.8,2265.0498,2.0866,16.982557,1.871,0.903,0.43833205,A      
591278,5605,263.11770475925,-29.95154996424,4058541892067981696,0.1346,4.34,-4.042,-1.581,15.086434,0.002874,16.73284,0.028747,13.759249,0.011812,,,2.973591,1.646405,1.327186,,15009.6,1898.7087,6.2274,1768.9742,5.736,,0.5738922,O      
393068,7395,42.33615456982,16.46006200721,33697664865077504,2.6462,45.387,42.261,-16.554,14.965708,0.002789,15.664925,0.004381,14.161431,0.004126,13.815434,0.130048,1.503493,0.699217,0.804276,,4484.4,368.9658,0.7022,0.1832781,0.708,9.495,0.6177973,K      
